Timestamp                  	PTD1 raw (mA)	PTD1 T0 (K)	PTD1 aT (PSI/K)	PTD1 adj (PSI)	PTD2 raw (mA)	PTD2 T0 (K)	PTD2 aT (PSI/K)	PTD2 adj (PSI)	RTD0 raw R (Ohm)	RTD1 raw R (Ohm)	DAQ thermistor T (K)
5:41:54.063 PM 10/16/2022 	 4.447024 	 297.647000 	 44.546000 	 -121.159982 	 4.447204 	 297.647000 	 44.546000 	 -121.159982 	 99.159882 	 108.986697 	 301.615934
5:41:54.562 PM 10/16/2022 	 4.424756 	 297.647000 	 44.546000 	 -121.159982 	 4.445761 	 297.647000 	 44.546000 	 -121.159982 	 99.159882 	 108.986697 	 301.615934
5:41:55.062 PM 10/16/2022 	 4.446661 	 297.647000 	 44.546000 	 -119.516479 	 4.468916 	 297.647000 	 44.546000 	 -119.516479 	 99.159942 	 108.986697 	 301.615591
5:41:55.562 PM 10/16/2022 	 4.446864 	 297.647000 	 44.546000 	 -119.516479 	 4.471175 	 297.647000 	 44.546000 	 -119.516479 	 99.159942 	 108.986697 	 301.615591
5:41:56.062 PM 10/16/2022 	 4.438451 	 297.647000 	 44.546000 	 -120.592237 	 4.464036 	 297.647000 	 44.546000 	 -120.592237 	 99.160120 	 108.986221 	 301.615485
5:41:56.563 PM 10/16/2022 	 4.439638 	 297.647000 	 44.546000 	 -119.803316 	 4.462162 	 297.647000 	 44.546000 	 -119.803316 	 99.159763 	 108.986161 	 301.615749
5:41:57.062 PM 10/16/2022 	 4.438015 	 297.647000 	 44.546000 	 -119.803316 	 4.463507 	 297.647000 	 44.546000 	 -119.803316 	 99.159763 	 108.986161 	 301.615749
5:41:57.562 PM 10/16/2022 	 4.442809 	 297.647000 	 44.546000 	 -120.345468 	 4.455422 	 297.647000 	 44.546000 	 -120.345468 	 99.159763 	 108.986519 	 301.614904
5:41:58.063 PM 10/16/2022 	 4.444610 	 297.647000 	 44.546000 	 -121.042059 	 4.467933 	 297.647000 	 44.546000 	 -121.042059 	 99.160656 	 108.986578 	 301.614824
5:41:58.562 PM 10/16/2022 	 4.444357 	 297.647000 	 44.546000 	 -121.042059 	 4.467019 	 297.647000 	 44.546000 	 -121.042059 	 99.160656 	 108.986578 	 301.614824
5:41:59.062 PM 10/16/2022 	 4.444787 	 297.647000 	 44.546000 	 -120.631124 	 4.461135 	 297.647000 	 44.546000 	 -120.631124 	 99.160180 	 108.986638 	 301.615089
