Timestamp                  	PTD1 raw (mA)	PTD1 T0 (K)	PTD1 aT (PSI/K)	PTD1 adj (PSI)	PTD2 raw (mA)	PTD2 T0 (K)	PTD2 aT (PSI/K)	PTD2 adj (PSI)	RTD0 raw R (Ohm)	RTD1 raw R (Ohm)
9:01:47.753 PM 10/14/2022 	 3.995118 	 297.647000 	 44.546000 	 -86.795089 	 4.017010 	 297.647000 	 44.546000 	 -86.795089 	 99.833565 	 109.038519
9:01:59.253 PM 10/14/2022 	 3.999144 	 297.647000 	 44.546000 	 -87.240640 	 4.023561 	 297.647000 	 44.546000 	 -87.240640 	 99.831540 	 109.038519
9:02:10.754 PM 10/14/2022 	 3.996410 	 297.647000 	 44.546000 	 -86.837436 	 4.024841 	 297.647000 	 44.546000 	 -86.837436 	 99.829992 	 109.037924
9:02:22.503 PM 10/14/2022 	 3.996288 	 297.647000 	 44.546000 	 -86.762446 	 4.015337 	 297.647000 	 44.546000 	 -86.762446 	 99.828443 	 109.038400
9:02:34.004 PM 10/14/2022 	 4.007394 	 297.647000 	 44.546000 	 -87.000746 	 4.023619 	 297.647000 	 44.546000 	 -87.000746 	 99.827014 	 109.038758
9:02:45.253 PM 10/14/2022 	 4.000564 	 297.647000 	 44.546000 	 -84.944902 	 4.016554 	 297.647000 	 44.546000 	 -84.944902 	 99.825227 	 109.038579
9:02:56.503 PM 10/14/2022 	 3.988855 	 297.647000 	 44.546000 	 -86.105242 	 4.020159 	 297.647000 	 44.546000 	 -86.105242 	 99.823619 	 109.038519
9:03:07.753 PM 10/14/2022 	 3.998155 	 297.647000 	 44.546000 	 -86.369750 	 4.031468 	 297.647000 	 44.546000 	 -86.369750 	 99.821653 	 109.038519
9:03:19.253 PM 10/14/2022 	 3.999508 	 297.647000 	 44.546000 	 -85.531920 	 4.017179 	 297.647000 	 44.546000 	 -85.531920 	 99.820462 	 109.038102
9:03:30.753 PM 10/14/2022 	 3.999950 	 297.647000 	 44.546000 	 -86.897122 	 4.017866 	 297.647000 	 44.546000 	 -86.897122 	 99.818616 	 109.038162
9:03:42.253 PM 10/14/2022 	 3.998434 	 297.647000 	 44.546000 	 -86.613264 	 4.010154 	 297.647000 	 44.546000 	 -86.613264 	 99.816889 	 109.037328
9:03:53.753 PM 10/14/2022 	 4.003406 	 297.647000 	 44.546000 	 -86.991456 	 4.020104 	 297.647000 	 44.546000 	 -86.991456 	 99.815340 	 109.037507
9:04:05.503 PM 10/14/2022 	 4.002059 	 297.647000 	 44.546000 	 -86.826141 	 4.024085 	 297.647000 	 44.546000 	 -86.826141 	 99.813553 	 109.037447
9:04:17.003 PM 10/14/2022 	 4.005794 	 297.647000 	 44.546000 	 -86.541075 	 4.019347 	 297.647000 	 44.546000 	 -86.541075 	 99.812183 	 109.037626
9:04:28.503 PM 10/14/2022 	 4.002574 	 297.647000 	 44.546000 	 -86.312452 	 4.021131 	 297.647000 	 44.546000 	 -86.312452 	 99.810694 	 109.037030
9:04:40.004 PM 10/14/2022 	 3.999118 	 297.647000 	 44.546000 	 -86.652746 	 4.007823 	 297.647000 	 44.546000 	 -86.652746 	 99.808550 	 109.037090
9:04:51.503 PM 10/14/2022 	 3.988465 	 297.647000 	 44.546000 	 -86.706768 	 4.015090 	 297.647000 	 44.546000 	 -86.706768 	 99.807240 	 109.037507
9:05:03.253 PM 10/14/2022 	 3.990094 	 297.647000 	 44.546000 	 -86.089875 	 4.009127 	 297.647000 	 44.546000 	 -86.089875 	 99.804977 	 109.037209
9:05:14.753 PM 10/14/2022 	 4.003351 	 297.647000 	 44.546000 	 -85.615715 	 4.018614 	 297.647000 	 44.546000 	 -85.615715 	 99.803726 	 109.037566
9:05:26.253 PM 10/14/2022 	 3.993064 	 297.647000 	 44.546000 	 -87.299846 	 4.020284 	 297.647000 	 44.546000 	 -87.299846 	 99.802058 	 109.037209
9:05:38.004 PM 10/14/2022 	 3.985591 	 297.647000 	 44.546000 	 -85.825749 	 4.014333 	 297.647000 	 44.546000 	 -85.825749 	 99.800450 	 109.037030
9:05:49.503 PM 10/14/2022 	 3.996631 	 297.647000 	 44.546000 	 -85.800741 	 4.018058 	 297.647000 	 44.546000 	 -85.800741 	 99.798604 	 109.036673
9:06:01.253 PM 10/14/2022 	 3.988977 	 297.647000 	 44.546000 	 -88.251014 	 4.016970 	 297.647000 	 44.546000 	 -88.251014 	 99.796936 	 109.036554
9:06:13.003 PM 10/14/2022 	 3.993163 	 297.647000 	 44.546000 	 -85.791448 	 4.021751 	 297.647000 	 44.546000 	 -85.791448 	 99.795030 	 109.036196
9:06:24.753 PM 10/14/2022 	 3.996308 	 297.647000 	 44.546000 	 -85.897069 	 4.017066 	 297.647000 	 44.546000 	 -85.897069 	 99.793839 	 109.036018
9:06:36.753 PM 10/14/2022 	 3.995767 	 297.647000 	 44.546000 	 -87.618736 	 4.016166 	 297.647000 	 44.546000 	 -87.618736 	 99.792231 	 109.036196
9:06:48.503 PM 10/14/2022 	 3.998789 	 297.647000 	 44.546000 	 -87.533241 	 4.024643 	 297.647000 	 44.546000 	 -87.533241 	 99.790265 	 109.035898
9:07:00.253 PM 10/14/2022 	 4.002123 	 297.647000 	 44.546000 	 -85.835758 	 4.017927 	 297.647000 	 44.546000 	 -85.835758 	 99.788657 	 109.035422
9:07:12.003 PM 10/14/2022 	 3.998077 	 297.647000 	 44.546000 	 -87.657003 	 4.018975 	 297.647000 	 44.546000 	 -87.657003 	 99.787228 	 109.035303
9:07:23.503 PM 10/14/2022 	 3.997474 	 297.647000 	 44.546000 	 -87.334409 	 4.023846 	 297.647000 	 44.546000 	 -87.334409 	 99.785560 	 109.035124
9:07:35.253 PM 10/14/2022 	 4.004383 	 297.647000 	 44.546000 	 -85.768776 	 4.012593 	 297.647000 	 44.546000 	 -85.768776 	 99.784011 	 109.034945
9:07:47.003 PM 10/14/2022 	 3.995427 	 297.647000 	 44.546000 	 -85.538531 	 4.018596 	 297.647000 	 44.546000 	 -85.538531 	 99.782761 	 109.034886
