Timestamp	PTD1 (MPa)	PTD2 (MPa)	RTD0_PVtop (K)	RTD1_room (K)	TC0_bath (K)	TC1_PVtop (K)	TC2_PTD2 (K)	TC3_PVside (K)
12:04:35.412 AM 9/30/2024 	 504.934109 	 503.673540 	 294.756583 	 294.840082 	 -66370.117469 	 -66370.117469 	 -66370.117469 	 295.486558
12:04:40.583 AM 9/30/2024 	 505.294154 	 504.228448 	 294.756736 	 294.839010 	 -66370.245413 	 -66370.245413 	 -66370.245413 	 295.496028
12:04:45.724 AM 9/30/2024 	 505.058149 	 504.708294 	 294.755358 	 294.839316 	 -66370.026082 	 -66370.026082 	 -66370.026082 	 295.478179
12:04:50.904 AM 9/30/2024 	 505.012358 	 504.070011 	 294.755358 	 294.838703 	 -66369.946880 	 -66369.946880 	 -66369.946880 	 295.474559
12:04:56.057 AM 9/30/2024 	 505.267987 	 503.107549 	 294.755511 	 294.836864 	 -66370.062636 	 -66370.062636 	 -66370.062636 	 295.482096
12:05:01.173 AM 9/30/2024 	 505.707790 	 504.339530 	 294.756124 	 294.837937 	 -66370.288061 	 -66370.288061 	 -66370.288061 	 295.468891
12:05:06.348 AM 9/30/2024 	 504.674202 	 504.265224 	 294.757043 	 294.836864 	 -66370.586606 	 -66370.586606 	 -66370.586606 	 295.482827
12:05:11.550 AM 9/30/2024 	 504.754967 	 504.127441 	 294.755511 	 294.837171 	 -66370.543956 	 -66370.543956 	 -66370.543956 	 295.485007
12:05:16.721 AM 9/30/2024 	 504.829190 	 503.787645 	 294.756583 	 294.836251 	 -66370.178395 	 -66370.178395 	 -66370.178395 	 295.469855
12:05:21.894 AM 9/30/2024 	 505.183448 	 503.729711 	 294.755358 	 294.836558 	 -66370.178395 	 -66370.178395 	 -66370.178395 	 295.490103
12:05:27.053 AM 9/30/2024 	 504.849067 	 503.607293 	 294.756583 	 294.834566 	 -66370.269784 	 -66370.269784 	 -66370.269784 	 295.463637
12:05:32.253 AM 9/30/2024 	 504.899136 	 503.199236 	 294.756736 	 294.835179 	 -66370.324617 	 -66370.324617 	 -66370.324617 	 295.484109
12:05:37.420 AM 9/30/2024 	 504.547646 	 504.049608 	 294.757502 	 294.834872 	 -66370.434286 	 -66370.434286 	 -66370.434286 	 295.489738
12:05:42.578 AM 9/30/2024 	 504.953986 	 502.509316 	 294.757196 	 294.834566 	 -66370.348988 	 -66370.348988 	 -66370.348988 	 295.496452
12:05:47.722 AM 9/30/2024 	 504.793966 	 503.955150 	 294.756583 	 294.834719 	 -66370.361173 	 -66370.361173 	 -66370.361173 	 295.494618
12:05:52.899 AM 9/30/2024 	 504.383600 	 504.072530 	 294.756124 	 294.834872 	 -66370.202765 	 -66370.202765 	 -66370.202765 	 295.483140
12:05:58.072 AM 9/30/2024 	 505.187977 	 503.382862 	 294.757349 	 294.833953 	 -66369.983434 	 -66369.983434 	 -66369.983434 	 295.468587
12:06:03.260 AM 9/30/2024 	 504.326486 	 503.533490 	 294.755511 	 294.833646 	 -66369.739740 	 -66369.739740 	 -66369.739740 	 295.491134
12:06:08.440 AM 9/30/2024 	 505.223956 	 502.786392 	 294.756430 	 294.833033 	 -66369.221910 	 -66369.221910 	 -66369.221910 	 295.477244
12:06:13.596 AM 9/30/2024 	 505.127592 	 503.827947 	 294.756277 	 294.831807 	 -66368.551819 	 -66368.551819 	 -66368.551819 	 295.492867
12:06:18.791 AM 9/30/2024 	 504.253270 	 504.116358 	 294.756277 	 294.831960 	 -66368.362984 	 -66368.362984 	 -66368.362984 	 295.490682
12:06:23.957 AM 9/30/2024 	 505.622496 	 504.520386 	 294.756124 	 294.831348 	 -66368.539636 	 -66368.539636 	 -66368.539636 	 295.494230
12:06:29.115 AM 9/30/2024 	 505.965935 	 503.844571 	 294.755204 	 294.829968 	 -66368.466538 	 -66368.466538 	 -66368.466538 	 295.486867
12:06:34.264 AM 9/30/2024 	 504.189614 	 504.345072 	 294.756736 	 294.828742 	 -66367.875685 	 -66367.875685 	 -66367.875685 	 295.475032
12:06:39.430 AM 9/30/2024 	 505.439077 	 504.200488 	 294.755970 	 294.827823 	 -66367.516318 	 -66367.516318 	 -66367.516318 	 295.499461
12:06:44.618 AM 9/30/2024 	 505.486630 	 503.484876 	 294.755817 	 294.827363 	 -66367.102149 	 -66367.102149 	 -66367.102149 	 295.478460
12:06:49.792 AM 9/30/2024 	 504.458075 	 503.634749 	 294.756430 	 294.826444 	 -66366.462660 	 -66366.462660 	 -66366.462660 	 295.488558
12:06:54.964 AM 9/30/2024 	 505.210621 	 504.378069 	 294.756277 	 294.826291 	 -66365.835394 	 -66365.835394 	 -66365.835394 	 295.482224
12:07:00.115 AM 9/30/2024 	 504.847557 	 503.807292 	 294.757043 	 294.824911 	 -66365.080294 	 -66365.080294 	 -66365.080294 	 295.472072
12:07:05.211 AM 9/30/2024 	 505.201312 	 503.547344 	 294.755664 	 294.823992 	 -66365.055937 	 -66365.055937 	 -66365.055937 	 295.508701
12:07:10.336 AM 9/30/2024 	 505.345732 	 503.396464 	 294.756124 	 294.823839 	 -66365.037669 	 -66365.037669 	 -66365.037669 	 295.467188
12:07:15.541 AM 9/30/2024 	 504.910458 	 503.560442 	 294.756583 	 294.823379 	 -66365.269063 	 -66365.269063 	 -66365.269063 	 295.491209
12:07:20.711 AM 9/30/2024 	 505.174893 	 504.044822 	 294.754592 	 294.821080 	 -66365.500463 	 -66365.500463 	 -66365.500463 	 295.479441
12:07:25.835 AM 9/30/2024 	 505.016886 	 504.075300 	 294.755970 	 294.821693 	 -66365.354315 	 -66365.354315 	 -66365.354315 	 295.476018
