11:59:35.305 AM 9/20/2022 	 109.247084 	 296.787437 	 109.061512 	 296.331282 	 295.044024 	 294.139623 	 294.714923 	 294.093814 
11:59:42.510 AM 9/20/2022 	 109.246250 	 296.785291 	 109.061273 	 296.330668 	 295.000601 	 294.100367 	 294.683734 	 294.049831 
11:59:49.689 AM 9/20/2022 	 109.245357 	 296.782991 	 109.061393 	 296.330975 	 294.978370 	 294.102180 	 294.671866 	 294.030862 
11:59:56.900 AM 9/20/2022 	 109.244404 	 296.780539 	 109.061035 	 296.330055 	 295.030943 	 294.102905 	 294.701834 	 294.061343 
12:00:04.105 PM 9/20/2022 	 109.244225 	 296.780079 	 109.060916 	 296.329749 	 295.022407 	 294.079711 	 294.673009 	 294.018781 
12:00:11.314 PM 9/20/2022 	 109.243570 	 296.778393 	 109.060618 	 296.328982 	 295.041728 	 294.125044 	 294.690929 	 294.059397 
12:00:18.500 PM 9/20/2022 	 109.243272 	 296.777626 	 109.060559 	 296.328829 	 294.950724 	 294.089124 	 294.682411 	 294.046616 
12:00:25.716 PM 9/20/2022 	 109.243689 	 296.778699 	 109.060559 	 296.328829 	 294.964743 	 294.089472 	 294.685117 	 294.065385 
12:00:32.901 PM 9/20/2022 	 109.243689 	 296.778699 	 109.060618 	 296.328982 	 294.945804 	 294.098835 	 294.694940 	 294.048299 
12:00:40.094 PM 9/20/2022 	 109.243987 	 296.779466 	 109.060261 	 296.328062 	 294.923010 	 294.091114 	 294.678737 	 294.040577 
12:00:47.298 PM 9/20/2022 	 109.243927 	 296.779312 	 109.059903 	 296.327142 	 294.964557 	 294.080784 	 294.663232 	 294.026467 
12:00:54.519 PM 9/20/2022 	 109.243451 	 296.778086 	 109.060499 	 296.328675 	 294.980526 	 294.120397 	 294.710342 	 294.053332 
12:01:01.726 PM 9/20/2022 	 109.243630 	 296.778546 	 109.060320 	 296.328215 	 295.008111 	 294.098446 	 294.662004 	 294.026655 
12:01:08.918 PM 9/20/2022 	 109.243391 	 296.777933 	 109.060142 	 296.327755 	 294.986895 	 294.080023 	 294.670491 	 294.053574 
12:01:16.121 PM 9/20/2022 	 109.243391 	 296.777933 	 109.060142 	 296.327755 	 294.932672 	 294.064426 	 294.673311 	 294.011525 
12:01:23.313 PM 9/20/2022 	 109.243451 	 296.778086 	 109.059784 	 296.326836 	 295.007512 	 294.107292 	 294.730741 	 294.056756 
12:01:30.523 PM 9/20/2022 	 109.243094 	 296.777166 	 109.059367 	 296.325762 	 295.002788 	 294.084612 	 294.698658 	 294.034074 
